"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","X_N2","X_N2O3","X_N2O4","X_N2O5","X_NO","X_NO2","X_NO3","X_O","X_O2","X_O3","vtkGhostType"
-0.045602,0.0030879,1.4901e-08,344.49,-2.1188,0.10701,-0.8385,0.78997,5.7174e-11,1.8594e-08,4.0244e-06,7.6443e-06,0.00024308,1.2309e-08,2.2703e-10,0.20965,0.00012522,0
-0.044597,0.0030879,1.4901e-08,344.5,-2.523,-0.54452,-0.48681,0.78997,7.4472e-11,1.9215e-08,3.2428e-06,9.7987e-06,0.00024712,9.8185e-09,2.0707e-10,0.20965,0.00011447,0
-0.043592,0.0030879,1.4901e-08,344.5,-2.4248,-0.43382,-0.52151,0.78997,8.2327e-11,1.9469e-08,2.8987e-06,1.0761e-05,0.00024875,8.8818e-09,1.9911e-10,0.20965,0.00011018,0
-0.042588,0.0030879,1.4901e-08,344.5,-2.1921,-0.3149,-0.27982,0.78997,8.2644e-11,1.9466e-08,2.8992e-06,1.08e-05,0.00024872,8.889e-09,1.9913e-10,0.20965,0.00011018,0
-0.041583,0.0030879,1.4901e-08,344.49,-2.0568,-0.28557,0.17044,0.78997,7.4063e-11,1.9171e-08,3.2411e-06,9.7434e-06,0.00024681,9.9674e-09,2.0903e-10,0.20965,0.00011553,0
-0.040578,0.0030879,1.4901e-08,344.49,-2.0226,-0.25304,0.14318,0.78997,7.6472e-11,1.9259e-08,3.1614e-06,1.0036e-05,0.00024738,9.6906e-09,2.0588e-10,0.20965,0.00011382,0
-0.039573,0.0030879,1.4901e-08,344.5,-1.9682,-0.24728,-0.079605,0.78998,8.9256e-11,1.969e-08,2.7112e-06,1.1596e-05,0.00025016,8.2341e-09,1.9077e-10,0.20965,0.00010564,0
-0.038569,0.0030879,1.4901e-08,344.5,-1.8982,-0.26074,-0.31853,0.78998,9.9276e-11,1.9979e-08,2.3476e-06,1.2811e-05,0.000252,7.2441e-09,1.81e-10,0.20965,0.00010035,0
-0.037564,0.0030879,1.4901e-08,344.5,-1.9176,-0.44933,-0.48429,0.78998,1.013e-10,2.0013e-08,2.216e-06,1.3061e-05,0.0002522,7.031e-09,1.807e-10,0.20965,0.0001002,0
-0.036559,0.0030879,1.4901e-08,344.49,-2.0641,-0.58423,-0.53436,0.78998,9.9047e-11,1.992e-08,2.2535e-06,1.2801e-05,0.0002516,7.2242e-09,1.8445e-10,0.20965,0.00010225,0
-0.035554,0.0030879,1.4901e-08,344.49,-2.1181,-0.6263,-0.38411,0.78998,9.6191e-11,1.9799e-08,2.3684e-06,1.2469e-05,0.00025082,7.5298e-09,1.8841e-10,0.20965,0.00010441,0
-0.03455,0.0030879,1.4901e-08,344.49,-1.8615,-0.49819,-0.14506,0.78997,9.1021e-11,1.9599e-08,2.5704e-06,1.1854e-05,0.00024954,8.1047e-09,1.9508e-10,0.20965,0.00010802,0
