"N2_PPM","N2O3_PPM","N2O4_PPM","N2O5_PPM","NO2_PPM","NO3_PPM","NO_PPM","O2_PPM","O3_PPM","O_PPM","Phi","T","U:0","U:1","U:2","vtkGhostType","Points:0","Points:1","Points:2"
789915,4.79083e-06,0.01312,6.42831,203.388,0.0311932,0.762021,209633,240.65,0.000443625,1.69682,344.358,-0.284277,-0.516705,0.532045,0,-0.0124445,-0.0134886,-1.54923e-19
789916,4.69135e-06,0.0131144,6.53849,203.356,0.0314171,0.746412,209634,239.978,0.000442402,1.70105,344.36,-0.214252,-0.401997,0.575236,0,-0.0119443,-0.0134886,-1.54923e-19
789917,4.7855e-06,0.0132033,6.57347,204.064,0.0312566,0.758804,209634,237.572,0.000437857,1.72441,344.364,-0.17721,-0.291597,0.571226,0,-0.0114441,-0.0134886,-1.54923e-19
789918,4.97194e-06,0.013333,6.56503,205.09,0.0309109,0.78457,209635,234.502,0.000432035,1.75597,344.368,-0.164332,-0.197169,0.541022,0,-0.0109438,-0.0134886,-1.54923e-19
789919,5.23297e-06,0.0134672,6.52027,206.142,0.0304789,0.821693,209636,231.592,0.000426503,1.78733,344.372,-0.153352,-0.12645,0.50285,0,-0.0104436,-0.0134886,-1.54923e-19
789920,5.48886e-06,0.0135475,6.46413,206.766,0.0301469,0.859329,209636,230.051,0.000423562,1.80506,344.373,-0.142695,-0.0899257,0.460147,0,-0.00994337,-0.0134886,-1.54923e-19
789920,5.68364e-06,0.0135558,6.43906,206.827,0.0300323,0.889553,209636,229.988,0.000423429,1.80634,344.373,-0.140808,-0.0841314,0.418716,0,-0.00944313,-0.0134886,-1.54923e-19
789918,5.41096e-06,0.0132978,6.60481,204.806,0.0309257,0.854552,209635,234.929,0.00043286,1.75107,344.367,-0.161369,-0.0937001,0.430455,0,-0.0089429,-0.0134886,-1.54923e-19
789912,4.20658e-06,0.0125483,7.18229,198.847,0.0339174,0.683293,209632,248.979,0.000459804,1.60341,344.35,-0.282948,-0.060646,0.559936,0,-0.00844266,-0.0134886,-1.54923e-19
789907,3.06546e-06,0.0118602,7.70107,193.231,0.036857,0.512159,209630,262.427,0.000485685,1.47665,344.333,-0.399679,-0.0244232,0.738819,0,-0.00794243,-0.0134886,-1.54923e-19
789904,2.57466e-06,0.0115529,7.90248,190.665,0.0381842,0.435938,209628,268.825,0.000498011,1.42193,344.324,-0.42426,-0.0340196,0.805092,0,-0.00744219,-0.0134886,-1.54923e-19
789904,2.63958e-06,0.0115939,7.8144,190.989,0.0379038,0.445835,209628,268.47,0.000497282,1.42641,344.323,-0.345837,-0.0874846,0.811514,0,-0.00694195,-0.0134886,-1.54923e-19
789904,2.73895e-06,0.0116545,7.68491,191.487,0.0374655,0.46181,209628,267.884,0.000496083,1.43315,344.322,-0.256076,-0.122663,0.80675,0,-0.00644172,-0.0134886,-1.54923e-19
789903,2.63386e-06,0.0115718,7.61396,190.776,0.0375851,0.44576,209627,270.564,0.000501165,1.41353,344.316,-0.218251,-0.13324,0.754376,0,-0.00594148,-0.0134886,-1.54923e-19
789901,2.38667e-06,0.011375,7.6003,189.099,0.0381643,0.407364,209626,275.776,0.00051113,1.37436,344.307,-0.237497,-0.119122,0.718277,0,-0.00544125,-0.0134886,-1.54923e-19
789898,2.02201e-06,0.01107,7.66587,186.482,0.0392437,0.349698,209624,283.276,0.000525547,1.31928,344.296,-0.331968,-0.0476395,0.727977,0,-0.00494101,-0.0134886,-1.54923e-19
789894,1.60607e-06,0.0106815,7.76276,183.105,0.0406705,0.282701,209622,292.847,0.000543993,1.25252,344.282,-0.517117,0.0564212,0.778802,0,-0.00444077,-0.0134886,-1.54923e-19
789889,1.25644e-06,0.0102798,7.77929,179.547,0.0420007,0.225455,209620,303.527,0.000564577,1.18474,344.266,-0.795891,0.165547,0.833383,0,-0.00394054,-0.0134886,-1.54923e-19
789885,1.02487e-06,0.00992206,7.67408,176.314,0.0429453,0.187247,209617,314.076,0.000584891,1.12401,344.249,-1.14973,0.25839,0.820924,0,-0.0034403,-0.0134886,-1.54923e-19
789882,9.38972e-07,0.00969287,7.50759,174.206,0.0433286,0.173612,209615,321.64,0.000599427,1.08434,344.237,-1.41716,0.299619,0.676675,0,-0.00294007,-0.0134886,-1.54923e-19
789880,9.46688e-07,0.00960015,7.37663,173.338,0.0433293,0.175876,209614,325.192,0.000606226,1.06717,344.23,-1.49973,0.310509,0.453719,0,-0.00243983,-0.0134886,-1.54923e-19
789879,9.85223e-07,0.00955075,7.27195,172.871,0.0432357,0.183499,209613,327.338,0.00061032,1.05734,344.226,-1.53885,0.302777,0.370246,0,-0.00193959,-0.0134886,-1.54923e-19
789879,1.07154e-06,0.00957558,7.21274,173.092,0.0429889,0.199264,209613,327.072,0.000609763,1.05967,344.225,-1.44052,0.234853,0.578688,0,-0.00143936,-0.0134886,-1.54923e-19
789880,1.19377e-06,0.00962637,7.14989,173.551,0.0426394,0.22135,209613,326.105,0.000607845,1.06578,344.226,-1.21751,0.11652,0.832715,0,-0.000939122,-0.0134886,-1.54923e-19
789880,1.37305e-06,0.0096976,7.06745,174.195,0.0421647,0.253479,209613,324.707,0.000605082,1.07456,344.227,-0.900446,0.0364409,0.968634,0,-0.000438886,-0.0134886,-1.54923e-19
789880,1.46215e-06,0.00969213,6.9846,174.134,0.0419609,0.269955,209613,325.457,0.00060648,1.07187,344.225,-0.629046,0.0693592,0.9975,0,6.13497e-05,-0.0134886,-1.54923e-19
789879,1.39466e-06,0.00960186,6.92332,173.299,0.0421278,0.258872,209612,328.432,0.000612206,1.05692,344.22,-0.507219,0.152387,0.976716,0,0.000561586,-0.0134886,-1.54923e-19
789877,1.29162e-06,0.00947192,6.8465,172.086,0.0424026,0.241393,209611,332.665,0.00062037,1.03616,344.213,-0.500341,0.164547,0.957392,0,0.00106182,-0.0134886,-1.54923e-19
789875,1.22061e-06,0.00931276,6.70342,170.591,0.0426072,0.230167,209609,338.215,0.000631056,1.01018,344.203,-0.559331,0.0723995,0.923775,0,0.00156206,-0.0134886,-1.54923e-19
789873,1.21328e-06,0.00920278,6.55369,169.545,0.0426187,0.230143,209608,342.444,0.000639177,0.991554,344.196,-0.520653,-0.0097903,0.776042,0,0.00206229,-0.0134886,-1.54923e-19
789872,1.23276e-06,0.00915804,6.44178,169.113,0.0425018,0.234399,209608,344.544,0.000643188,0.983024,344.192,-0.415128,0.0167667,0.432285,0,0.00256253,-0.0134886,-1.54923e-19
789873,1.12773e-06,0.00919528,6.55351,169.474,0.0426931,0.214075,209608,342.691,0.00063966,0.990374,344.196,-0.250394,0.234192,0.221609,0,0.00306277,-0.0134886,-1.54923e-19
789876,9.21284e-07,0.00936963,6.92015,171.135,0.043076,0.173335,209611,335.124,0.000625189,1.0225,344.208,-0.101973,0.479865,0.149777,0,0.003563,-0.0134886,-1.54923e-19
789879,7.81517e-07,0.00957438,7.26118,173.06,0.043267,0.145429,209613,326.925,0.000609486,1.05966,344.221,-0.092718,0.774309,-0.0329561,0,0.00406324,-0.0134886,-1.54923e-19
789877,1.00578e-06,0.0094188,7.02574,171.601,0.0431013,0.188849,209611,332.925,0.000620985,1.03204,344.212,-0.287548,0.918296,-0.0277846,0,0.00456347,-0.0134886,-1.54923e-19
789874,2.01692e-06,0.00929165,6.37146,170.362,0.0415226,0.380282,209608,341.012,0.000636256,1.00139,344.196,-0.671219,0.833515,0.158908,0,0.00506371,-0.0134886,-1.54923e-19
789874,3.66601e-06,0.00946089,5.81473,171.886,0.0390231,0.684435,209608,339.871,0.000633643,1.01551,344.192,-1.2824,0.786111,0.391667,0,0.00556395,-0.0134886,-1.54923e-19
789876,5.64661e-06,0.00971086,5.4532,174.16,0.0366731,1.04169,209608,334.953,0.000623825,1.04614,344.196,-1.57978,0.64328,0.0760024,0,0.00606418,-0.0134886,-1.54923e-19
789878,7.68566e-06,0.00991173,5.26597,175.978,0.0349027,1.40425,209609,330.133,0.000614333,1.07462,344.201,-1.35213,0.433846,-0.530232,0,0.00656442,-0.0134886,-1.54923e-19
789880,9.96595e-06,0.0100792,5.17974,177.484,0.033416,1.80623,209610,325.435,0.000605156,1.10187,344.206,-1.34303,0.264367,-0.940985,0,0.00706465,-0.0134886,-1.54923e-19
789882,1.14596e-05,0.0101799,5.17038,178.388,0.0326067,2.06661,209610,322.271,0.000599014,1.1199,344.209,-1.35906,0.104742,-1.3232,0,0.00756489,-0.0134886,-1.54923e-19
789883,1.28599e-05,0.01029,5.17065,179.375,0.0318699,2.30706,209611,318.83,0.000592352,1.13969,344.214,-1.32613,0.107089,-1.37039,0,0.00806513,-0.0134886,-1.54923e-19
789884,1.40342e-05,0.0103581,5.19237,179.982,0.0314001,2.50866,209611,316.448,0.000587756,1.1534,344.217,-1.08223,0.398533,-1.44594,0,0.00856536,-0.0134886,-1.54923e-19
789887,1.81419e-05,0.0105881,5.05132,182.002,0.0295056,3.20706,209612,310.021,0.000575234,1.19484,344.223,-0.733837,0.990922,-1.35787,0,0.0090656,-0.0134886,-1.54923e-19
789897,3.14101e-05,0.0113944,4.40827,188.881,0.024104,5.34347,209615,289.781,0.000535873,1.34105,344.241,-0.775927,1.2656,-1.39262,0,0.00956583,-0.0134886,-1.54923e-19
789907,4.67088e-05,0.0123591,3.61577,196.832,0.0191612,7.6399,209618,267.085,0.000491999,1.53177,344.26,-1.12927,0.901108,-1.33645,0,0.0100661,-0.0134886,-1.54923e-19
789911,5.19979e-05,0.0127731,3.24258,200.166,0.0175171,8.37617,209619,258.315,0.000475102,1.61469,344.269,-1.41568,0.494634,-1.02657,0,0.0105663,-0.0134886,-1.54923e-19
789910,5.0142e-05,0.0127597,3.21956,200.059,0.0177582,8.07994,209619,259.393,0.000477157,1.60504,344.269,-1.36974,0.00361025,-0.843817,0,0.0110665,-0.0134886,-1.54923e-19
789910,4.96339e-05,0.0127708,3.19069,200.15,0.0177705,7.99679,209619,259.495,0.000477339,1.60428,344.269,-1.00487,-0.594217,-1.04279,0,0.0115668,-0.0134886,-1.54923e-19
789914,5.6986e-05,0.0130996,2.92296,202.741,0.0162719,9.06429,209620,251.535,0.000462068,1.68417,344.275,-1.07377,-0.202536,-1.46404,0,0.012067,-0.0134886,-1.54923e-19
789917,6.32128e-05,0.0133675,2.69687,204.83,0.0151106,9.9558,209620,245.13,0.000449798,1.75249,344.279,-1.02561,0.134285,-1.7719,0,0.0125672,-0.0134886,-1.54923e-19
789917,6.43667e-05,0.0134137,2.59587,205.181,0.0148504,10.1201,209620,244.485,0.000448521,1.76129,344.278,-1.00731,0.133153,-1.86228,0,0.0130675,-0.0134886,-1.54923e-19
789916,6.26642e-05,0.013337,2.59766,204.578,0.0150894,9.88061,209620,246.759,0.000452829,1.73821,344.276,-0.977778,0.313762,-1.62932,0,0.0135677,-0.0134886,-1.54923e-19
789914,5.87719e-05,0.0131788,2.66002,203.338,0.0157113,9.32093,209619,251.142,0.000461179,1.69363,344.272,-0.899784,0.54422,-1.39086,0,0.014068,-0.0134886,-1.54923e-19
789913,5.56906e-05,0.0130691,2.71745,202.476,0.0162213,8.86885,209619,254.213,0.000467044,1.66284,344.269,-0.806279,0.754877,-0.994678,0,0.0145682,-0.0134886,-1.54923e-19
789911,5.32711e-05,0.0129768,2.76793,201.747,0.0166614,8.51234,209619,256.745,0.000471886,1.6381,344.267,-0.807783,0.74393,-0.47332,0,0.0150684,-0.0134886,-1.54923e-19
789908,4.75313e-05,0.0126912,2.89337,199.463,0.0178773,7.67203,209618,264.365,0.000486466,1.56804,344.26,-0.918516,0.560595,0.00872057,0,0.0155687,-0.0134886,-1.54923e-19
789902,3.78526e-05,0.0121787,3.11824,195.326,0.0201287,6.23842,209616,278.01,0.000512618,1.45038,344.248,-0.990604,0.638016,0.217933,0,0.0160689,-0.0134886,-1.54923e-19
789897,3.16484e-05,0.0117669,3.30808,191.893,0.0221388,5.28201,209614,288.846,0.000533515,1.36762,344.236,-0.87835,0.739845,0.186275,0,0.0165691,-0.0134886,-1.54923e-19
789893,2.64677e-05,0.0114506,3.48408,189.284,0.0236961,4.49363,209613,296.971,0.000549175,1.30555,344.229,-0.812622,0.549589,0.334863,0,0.0170694,-0.0134886,-1.54923e-19
789893,2.82132e-05,0.0114293,3.51805,188.978,0.0238178,4.74769,209612,297.138,0.000549621,1.30913,344.226,-0.73246,0.205496,0.555436,0,0.0175696,-0.0134886,-1.54923e-19
789889,2.39293e-05,0.01105,3.70009,185.811,0.0254425,4.11536,209611,306.585,0.000567815,1.24089,344.214,-0.698479,0.146082,0.801366,0,0.0180698,-0.0134886,-1.54923e-19
